station_id,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
493,0.0,0.0,-2.0,-1.0,-3.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,0.0,-3.0,0.0,0.0,2.0,-2.0
494,1.0,1.0,0.0,-3.0,2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
495,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
496,0.0,0.0,-2.0,0.0,-1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,-1.0,1.0,-2.0,-1.0,1.0,2.0,1.0,1.0,4.0,-1.0,0.0,-1.0,0.0,-2.0,2.0,3.0,0.0,1.0
497,0.0,-1.0,0.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-2.0,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,3.0,1.0,-2.0,0.0,1.0,3.0,0.0,-3.0,0.0,2.0,2.0,0.0
498,0.0,0.0,-1.0,0.0,-3.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0,0.0
499,0.0,2.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,2.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
500,-1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,-1.0,-3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,3.0,-1.0,4.0,0.0,0.0
501,1.0,1.0,2.0,3.0,-1.0,1.0,0.0,0.0,0.0,1.0,-3.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,-4.0,0.0,-3.0,2.0,0.0,1.0,2.0
502,2.0,1.0,-2.0,3.0,1.0,-1.0,-2.0,0.0,1.0,3.0,2.0,-1.0,0.0,-1.0,0.0,0.0,2.0,-3.0,1.0,-1.0,3.0,0.0,-4.0,1.0,-2.0,2.0,4.0,0.0,0.0,2.0
503,0.0,1.0,-3.0,-3.0,3.0,-1.0,2.0,1.0,0.0,1.0,-3.0,-4.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,2.0
504,0.0,1.0,0.0,1.0,1.0,0.0,5.0,-1.0,1.0,0.0,3.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,2.0,2.0,5.0,0.0,-1.0,2.0,-1.0,5.0,2.0,1.0,0.0,0.0
505,1.0,0.0,0.0,-2.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,1.0,-1.0,0.0,4.0
506,0.0,0.0,-3.0,-1.0,-2.0,0.0,2.0,-1.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
507,0.0,0.0,2.0,0.0,4.0,-3.0,1.0,2.0,0.0,-1.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0
508,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-3.0,0.0,3.0,0.0,1.0,-1.0,0.0,0.0,2.0
509,2.0,1.0,0.0,-1.0,2.0,-1.0,-2.0,1.0,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,-4.0,0.0,-1.0,1.0,0.0,0.0,-2.0,-6.0,0.0,0.0,-2.0
510,0.0,1.0,-1.0,-3.0,1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,-2.0,-1.0,1.0,-2.0
511,-2.0,5.0,-5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,-4.0,2.0,0.0,-1.0,0.0,-1.0,0.0,2.0,3.0,0.0,0.0,1.0,-1.0,-3.0,0.0,1.0,2.0,0.0,-1.0,1.0
514,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
